[GIN] 2026/04/07 - 13:33:55 | 200 |  57.06ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:33:56 | 200 |       0s |       127.0.0.1 | GET      "/api/state"
[GIN] 2026/04/07 - 13:33:56 | 200 |       0s |       127.0.0.1 | GET      "/api/library/stories"
[GIN] 2026/04/07 - 13:33:56 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:33:56 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/4"
[GIN] 2026/04/07 - 13:33:57 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:33:57 | 200 |    3.2ms |       127.0.0.1 | GET      "/api/library/stories/3"
[GIN] 2026/04/07 - 13:33:57 | 200 |  505.1µs |       127.0.0.1 | GET      "/api/library/chapters/16/content"
[GIN] 2026/04/07 - 13:33:57 | 200 |   47.6ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:34:54 | 200 |  69.95ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:34:54 | 200 |  965.2µs |       127.0.0.1 | GET      "/api/library/stories/3"
[GIN] 2026/04/07 - 13:34:54 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:34:54 | 200 |   53.1ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:34:54 | 200 |   1.29ms |       127.0.0.1 | GET      "/api/library/chapters/16/content"
[GIN] 2026/04/07 - 13:34:55 | 200 |  73.76ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:43:02 | 200 |   46.4ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:43:02 | 200 |       0s |       127.0.0.1 | GET      "/api/state"
[GIN] 2026/04/07 - 13:43:02 | 200 |   1.11ms |       127.0.0.1 | GET      "/api/library/stories"
[GIN] 2026/04/07 - 13:43:02 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:43:02 | 200 |   1.75ms |       127.0.0.1 | GET      "/api/reader/progress/4"
[GIN] 2026/04/07 - 13:43:03 | 200 |  508.7µs |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:43:03 | 200 |   2.72ms |       127.0.0.1 | GET      "/api/library/stories/3"
[GIN] 2026/04/07 - 13:43:03 | 200 |   1.02ms |       127.0.0.1 | GET      "/api/library/chapters/16/content"
[GIN] 2026/04/07 - 13:43:03 | 200 |  57.47ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:43:32 | 200 |  70.75ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:43:32 | 200 |       0s |       127.0.0.1 | GET      "/api/state"
[GIN] 2026/04/07 - 13:43:32 | 200 |       0s |       127.0.0.1 | GET      "/api/library/stories"
[GIN] 2026/04/07 - 13:43:33 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:43:33 | 200 |  507.1µs |       127.0.0.1 | GET      "/api/reader/progress/4"
[GIN] 2026/04/07 - 13:43:33 | 200 |   3.86ms |       127.0.0.1 | GET      "/api/library/stories/3"
[GIN] 2026/04/07 - 13:43:33 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:43:33 | 200 |    505µs |       127.0.0.1 | GET      "/api/library/chapters/16/content"
[GIN] 2026/04/07 - 13:43:33 | 200 |  49.89ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:44:54 | 200 |  48.58ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:44:55 | 200 |       0s |       127.0.0.1 | GET      "/api/state"
[GIN] 2026/04/07 - 13:44:55 | 200 |       0s |       127.0.0.1 | GET      "/api/library/stories"
[GIN] 2026/04/07 - 13:44:55 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:44:55 | 200 |  502.9µs |       127.0.0.1 | GET      "/api/reader/progress/4"
[GIN] 2026/04/07 - 13:44:56 | 200 |    1.6ms |       127.0.0.1 | GET      "/api/library/stories/3"
[GIN] 2026/04/07 - 13:44:56 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:44:56 | 200 |  545.2µs |       127.0.0.1 | GET      "/api/library/chapters/16/content"
[GIN] 2026/04/07 - 13:44:56 | 200 |  57.61ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:50:45 | 200 |       0s |       127.0.0.1 | GET      "/api/state"
[GIN] 2026/04/07 - 13:50:45 | 200 |  589.8µs |       127.0.0.1 | GET      "/api/library/stories"
[GIN] 2026/04/07 - 13:50:45 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:50:45 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/4"
[GIN] 2026/04/07 - 13:50:45 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 13:50:45 | 200 |    1.6ms |       127.0.0.1 | GET      "/api/library/stories/3"
[GIN] 2026/04/07 - 13:50:45 | 200 |       0s |       127.0.0.1 | GET      "/api/library/chapters/16/content"
[GIN] 2026/04/07 - 13:50:45 | 200 |  55.01ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:53:24 | 200 |  54.25ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:53:25 | 200 |  569.5µs |       127.0.0.1 | GET      "/api/library/chapters/17/content"
[GIN] 2026/04/07 - 13:53:25 | 200 |   1.03ms |       127.0.0.1 | GET      "/api/library/chapters/18/content"
[GIN] 2026/04/07 - 13:53:25 | 200 |   1.54ms |       127.0.0.1 | GET      "/api/library/chapters/20/content"
[GIN] 2026/04/07 - 13:53:25 | 200 |   2.06ms |       127.0.0.1 | GET      "/api/library/chapters/19/content"
[GIN] 2026/04/07 - 13:53:25 | 200 |   2.06ms |       127.0.0.1 | GET      "/api/library/chapters/21/content"
[GIN] 2026/04/07 - 13:53:25 | 200 |  74.89ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 13:53:25 | 200 |  50.98ms |       127.0.0.1 | POST     "/api/reader/progress"
